Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=Manufacturer~String~Manufacturer~100|Field=ManufacturerPartNumber~String~ManufacturerPartNumber~100|Field=Power/Voltage~String~Power/Voltage~100|Field=Quantity~Integer~Quantity~100|Field=Rem~String~Rem~100|Field=TKE~String~TKE~100|Field=Tolerance~String~Tolerance~100|Field=Value~String~Value~100|Field=Корпус~String~Корпус~100|Field=Примечание~String~Примечание~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~VisitCard.PrjPcb|ReportField=ProjectFullPath~E:\YandexDisk\!Projects\Relex\PCB Visit card\VisitCard\VisitCard.PrjPcb|ReportField=Title~Перечень элементов For Project [VisitCard.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~48|ReportField=ReportTime~11:59:37|ReportField=ReportDate~26.06.2018|ReportField=ReportDateTime~26.06.2018 11:59:37|ReportField=OutputName~Перечень элементов|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Гриценко|ReportField=Author~Шинелев|ReportField=CheckedBy~Шинелев|ReportField=CompanyName~РЕЛЭКС|ReportField=CurrentDate~26.06.2018|ReportField=CurrentTime~11:46:24|ReportField=Date~15.06.2018|ReportField=DecimalNumber~АБВГ.123456.001Э3|ReportField=DocumentFullPathAndName~E:\YandexDisk\!Projects\Relex\PCB Visit card\VisitCard\VisitCardScheme.SchDoc|ReportField=DocumentName~VisitCardScheme.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Н.Контр|ReportField=Engineer~Т.Контр|ReportField=HeadOfSector~Нач. сектора|ReportField=ImagePath~|ReportField=MainDevice~Перв.примен.|ReportField=ModifiedDate~26.06.2018|ReportField=Name~Визитная карта|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.94:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-4:MediaType=1:DitherType=10:PaperKind=A4:PrintScaleMode=1|ReportField=ProjectName~VisitCard.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Наименование|ReportField=DataSourceFileName~VisitCard.PrjPcb|ReportField=DataSourceFullPath~E:\YandexDisk\!Projects\Relex\PCB Visit card\VisitCard\VisitCard.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
33|R11|Vishay|CRCW0603200RJNEA|0.1Вт|1|||5%|200Ом|R0603|
34|R12|Vishay|CRCW0603200RJNEA|0.1Вт|1|||5%|200Ом|R0603|
35|R13|Vishay|CRCW0603200RJNEA|0.1Вт|1|||5%|200Ом|R0603|
36|R14|Vishay|CRCW0603200RJNEA|0.1Вт|1|||5%|200Ом|R0603|
37|R15|Vishay|CRCW0603200RJNEA|0.1Вт|1|||5%|200Ом|R0603|
38|R16|Vishay|CRCW0603200RJNEA|0.1Вт|1|||5%|200Ом|R0603|
39|R17|Vishay|CRCW0603200RJNEA|0.1Вт|1|||5%|200Ом|R0603|
40|R18|Vishay|CRCW0603200RJNEA|0.1Вт|1|||5%|200Ом|R0603|
41|R19|Vishay|CRCW0603200RJNEA|0.1Вт|1|||5%|200Ом|R0603|
42|R20|Vishay|CRCW0603200RJNEA|0.1Вт|1|||5%|200Ом|R0603|
43|R21|Vishay|CRCW0603200RJNEA|0.1Вт|1|||5%|200Ом|R0603|
44|VD1|ON Semiconductor/Fairchild|MM5Z3V6TR-ND|200мВт|1|||6%|MM5Z3V6||
45|VD2|ON Semiconductor/Fairchild|MM5Z3V6TR-ND|200мВт|1|||6%|MM5Z3V6||
46|X1||||1||||USB||USB вилка на печати
47|X2||||1||||||
48|ZQ1|Multicomp|HC49SM-16-30-50-60-16-ATF||1||||16Мгц|HC-49/SM|
